supplier_code,gtin,brand,model,title,description,image_url,source_url,category,price,currency,stock,variant,specifications,compatibility,source,source_product_id,source_slug,family_key,family_title,variant_code,variant_label,color,size,capacity_l,dimensions_text,height_cm,width_cm,depth_cm,weight_g,compartment_count,front_compartment_count,laptop_size_in,cabin_size,waterproof_cover,usb_port,hidden_pocket,bottle_pocket,breathable_back,ergonomic_straps,reflective_details,sbs_zippers,detachable_trolley,isothermal_compartment,organizer,feature_keys,attributes_json,category_paths,tag_names,msrp,msrp_minor,selling_price,selling_price_minor,regular_price,regular_price_minor,sale_price,sale_price_minor,price_kind,tax_inclusive,stock_status,purchasable,on_sale,sibling_variant_urls,image_urls,image_count,gtin_status,gtin_evidence_kind,gtin_evidence_url,gtin_evidence_sources,description_quality,data_quality_flags,last_researched_date,crawled_at,source_payload_sha256
612020-02,,POLO,612020-02,ΣΚΟΥΦΟΣ POWERSTRETCH,ΣΚΟΥΦΟΣ POWERSTRETCH της POLO. Κωδικός POLO: 612020-02.,https://www.polo.gr/wp-content/uploads/2022/10/612020-02-1024x1024-1.jpg,https://www.polo.gr/bags/travel/el-travel-accessories/el-beanie-powerstretch/,Ταξίδι > Ταξιδιωτικά Αξεσουάρ > travel > el travel accessories,19.00,EUR,instock,"{""family_key"":""612020"",""variant_code"":""02"",""label"":""ΜΠΡΕΛΟΚ ORIGINAL BAG"",""sibling_urls"":[]}","{""attributes"":{}}",,polo-gr,92705,el-beanie-powerstretch,612020,ΣΚΟΥΦΟΣ POWERSTRETCH,02,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,,{},travel|el-travel-accessories,polo-2024,19.00,1900,,,19.00,1900,,,POLO_P.L.T._MSRP,true,instock,true,false,,https://www.polo.gr/wp-content/uploads/2022/10/612020-02-1024x1024-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927005-2000-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927002-2000.jpg|https://www.polo.gr/wp-content/uploads/2025/04/949024-2000-1.jpg|https://www.polo.gr/wp-content/uploads/2022/10/612026-02-1024x1024-1.jpg,5,missing_after_external_enrichment,,,,normalized_basic,gtin_pending_external,2026-08-23,2026-08-23T16:52:01.136Z,576369927f1343e4f5282e93345e22fb10144515a419dc98aa9de9b00b0971ff
612022-02,,POLO,612022-02,ΣΚΟΥΦΟΣ ΙΣΟΘΕΡΜΙΚΟΣ POLARTEC,ΣΚΟΥΦΟΣ ΙΣΟΘΕΡΜΙΚΟΣ POLARTEC της POLO. Κωδικός POLO: 612022-02.,https://www.polo.gr/wp-content/uploads/2022/10/612022-02-1024x1024-1.jpg,https://www.polo.gr/bags/travel/el-travel-accessories/el-beanie-polartec/,Ταξίδι > Ταξιδιωτικά Αξεσουάρ > travel > el travel accessories,15.00,EUR,instock,"{""family_key"":""612022"",""variant_code"":""02"",""label"":""ΜΠΡΕΛΟΚ ORIGINAL BAG"",""sibling_urls"":[]}","{""isothermal_compartment"":true,""attributes"":{}}",,polo-gr,92704,el-beanie-polartec,612022,ΣΚΟΥΦΟΣ ΙΣΟΘΕΡΜΙΚΟΣ POLARTEC,02,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,true,false,isothermal_compartment,{},travel|el-travel-accessories,polo-2024,15.00,1500,,,15.00,1500,,,POLO_P.L.T._MSRP,true,instock,true,false,,https://www.polo.gr/wp-content/uploads/2022/10/612022-02-1024x1024-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927005-2000-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927002-2000.jpg|https://www.polo.gr/wp-content/uploads/2025/04/949024-2000-1.jpg|https://www.polo.gr/wp-content/uploads/2022/10/612026-02-1024x1024-1.jpg,5,missing_after_external_enrichment,,,,normalized_basic,gtin_pending_external,2026-08-23,2026-08-23T16:52:01.136Z,ebc515cd742c848066e2f678675ac516ccb9c42df377877c04d59aae746fa0fb
612026-02,,POLO,612026-02,ΜΠΑΛΑΚΛΑΒΑ POWERSTRETCH,ΜΠΑΛΑΚΛΑΒΑ POWERSTRETCH της POLO. Κωδικός POLO: 612026-02.,https://www.polo.gr/wp-content/uploads/2022/10/612026-02-1024x1024-1.jpg,https://www.polo.gr/bags/travel/el-travel-accessories/el-full-face-powerstretch/,Ταξίδι > Ταξιδιωτικά Αξεσουάρ > travel > el travel accessories,19.00,EUR,instock,"{""family_key"":""612026"",""variant_code"":""02"",""label"":""ΜΠΡΕΛΟΚ ORIGINAL BAG"",""sibling_urls"":[]}","{""attributes"":{}}",,polo-gr,92702,el-full-face-powerstretch,612026,ΜΠΑΛΑΚΛΑΒΑ POWERSTRETCH,02,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,,{},travel|el-travel-accessories,polo-2024,19.00,1900,,,19.00,1900,,,POLO_P.L.T._MSRP,true,instock,true,false,,https://www.polo.gr/wp-content/uploads/2022/10/612026-02-1024x1024-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927005-2000-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927002-2000.jpg|https://www.polo.gr/wp-content/uploads/2025/04/949024-2000-1.jpg|https://www.polo.gr/wp-content/uploads/2022/06/942005-03.jpg,5,missing_after_external_enrichment,,,,normalized_basic,gtin_pending_external,2026-08-23,2026-08-23T16:52:01.136Z,a94262e285e9ebb823a22ec116c4b827decef04ecbbac7d0c154badced4bf97a
612027-0000,,POLO,612027-0000,ΜΠΑΛΑΚΛΑΒΑ WINDBLOC,ΜΠΑΛΑΚΛΑΒΑ WINDBLOC της POLO. Κωδικός POLO: 612027-0000.,https://www.polo.gr/wp-content/uploads/2022/10/612027-02-1024x1024-1.jpg,https://www.polo.gr/bags/travel/el-travel-accessories/el-full-face-windbloc/,Ταξίδι > Ταξιδιωτικά Αξεσουάρ > travel > el travel accessories,26.20,EUR,instock,"{""family_key"":""612027"",""variant_code"":""0000"",""label"":""ΜΠΡΕΛΟΚ ORIGINAL BAG"",""sibling_urls"":[]}","{""attributes"":{}}",,polo-gr,92701,el-full-face-windbloc,612027,ΜΠΑΛΑΚΛΑΒΑ WINDBLOC,0000,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,,{},travel|el-travel-accessories,polo-2024,26.20,2620,,,26.20,2620,,,POLO_P.L.T._MSRP,true,instock,true,false,,https://www.polo.gr/wp-content/uploads/2022/10/612027-02-1024x1024-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927005-2000-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927002-2000.jpg|https://www.polo.gr/wp-content/uploads/2025/04/949024-2000-1.jpg|https://www.polo.gr/wp-content/uploads/2022/06/942005-03.jpg,5,missing_after_external_enrichment,,,,normalized_basic,gtin_pending_external,2026-08-23,2026-08-23T16:52:01.136Z,d230daf95a568766400b3354372d7bdd775d712a4f24715b098fa662003ceef0
848073-CL,,POLO,848073-CL,ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN,"ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN της POLO, χωρητικότητας 0.45 L, και βάρος 115 g. Κωδικός POLO: 848073-CL.",https://www.polo.gr/wp-content/uploads/2023/04/848073-CL-1.jpg,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-cl/,Σχολικό > Παγούρια / Θερμός > el back2school bottles thermos > back2school,15.00,EUR,instock,"{""family_key"":""848073"",""variant_code"":""CL"",""label"":""ΜΠΡΕΛΟΚ ORIGINAL BAG"",""sibling_urls"":[""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-pu/"",""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-su/"",""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-ro/""]}","{""capacity_l"":0.45,""weight_g"":115,""attributes"":{}}",,polo-gr,96408,el-bottle-hit-cap-g45-0-45l-cl,848073,ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN,CL,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,0.45,,,,,115,,,,false,false,false,false,false,false,false,false,false,false,false,false,,{},el-back2school-bottles-thermos|back2school,polo-2024|polo-2026-b2b,15.00,1500,,,15.00,1500,,,POLO_P.L.T._MSRP,true,instock,true,false,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-pu/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-su/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-ro/,https://www.polo.gr/wp-content/uploads/2023/04/848073-CL-1.jpg|https://www.polo.gr/wp-content/uploads/2023/04/848073-CL-2.jpg|https://www.polo.gr/wp-content/uploads/2024/06/848073-PU.jpg|https://www.polo.gr/wp-content/uploads/2024/06/848073-SU.jpg|https://www.polo.gr/wp-content/uploads/2024/06/848073-RO.jpg|https://www.polo.gr/wp-content/uploads/2023/04/848073-SET.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927005-2000-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927002-2000.jpg|https://www.polo.gr/wp-content/uploads/2025/04/949024-2000-1.jpg,9,missing_after_external_enrichment,,,,normalized_detailed,gtin_pending_external,2026-08-23,2026-08-23T16:52:01.136Z,a51e531a2afa650f811000e78faec5cefc2c4aa82decaf3c15fc64fc67a93178
848073-PU,,POLO,848073-PU,ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN,"ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN της POLO, χωρητικότητας 0.45 L, και βάρος 115 g. Κωδικός POLO: 848073-PU.",https://www.polo.gr/wp-content/uploads/2024/06/848073-PU.jpg,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-pu/,Σχολικό > Παγούρια / Θερμός > el back2school bottles thermos > back2school,15.00,EUR,instock,"{""family_key"":""848073"",""variant_code"":""PU"",""label"":""ΜΠΡΕΛΟΚ ORIGINAL BAG"",""sibling_urls"":[""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-cl/"",""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-ro/"",""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-su/""]}","{""capacity_l"":0.45,""weight_g"":115,""attributes"":{}}",,polo-gr,96413,el-bottle-hit-cap-g45-0-45l-pu,848073,ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN,PU,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,0.45,,,,,115,,,,false,false,false,false,false,false,false,false,false,false,false,false,,{},el-back2school-bottles-thermos|back2school,polo-2024|polo-2026-b2b,15.00,1500,,,15.00,1500,,,POLO_P.L.T._MSRP,true,instock,true,false,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-cl/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-ro/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-su/,https://www.polo.gr/wp-content/uploads/2024/06/848073-PU.jpg|https://www.polo.gr/wp-content/uploads/2023/04/848073-PU-2.jpg|https://www.polo.gr/wp-content/uploads/2023/04/848073-CL-1.jpg|https://www.polo.gr/wp-content/uploads/2024/06/848073-RO.jpg|https://www.polo.gr/wp-content/uploads/2024/06/848073-SU.jpg|https://www.polo.gr/wp-content/uploads/2023/04/848073-SET.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927005-2000-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927002-2000.jpg|https://www.polo.gr/wp-content/uploads/2025/04/949024-2000-1.jpg,9,missing_after_external_enrichment,,,,normalized_detailed,gtin_pending_external,2026-08-23,2026-08-23T16:52:01.136Z,8d6862f029807ee086d0b596673c5b1305ef3333f4ad7ee6b40b08e21f520a7e
848073-RO,,POLO,848073-RO,ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN,"ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN της POLO, χωρητικότητας 0.45 L, και βάρος 115 g. Κωδικός POLO: 848073-RO.",https://www.polo.gr/wp-content/uploads/2024/06/848073-RO.jpg,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-ro/,Σχολικό > Παγούρια / Θερμός > el back2school bottles thermos > back2school,15.00,EUR,instock,"{""family_key"":""848073"",""variant_code"":""RO"",""label"":""ΜΠΡΕΛΟΚ ORIGINAL BAG"",""sibling_urls"":[""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-cl/"",""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-su/"",""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-pu/""]}","{""capacity_l"":0.45,""weight_g"":115,""attributes"":{}}",,polo-gr,96423,el-bottle-hit-cap-g45-0-45l-ro,848073,ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN,RO,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,0.45,,,,,115,,,,false,false,false,false,false,false,false,false,false,false,false,false,,{},el-back2school-bottles-thermos|back2school,polo-2024|polo-2026-b2b,15.00,1500,,,15.00,1500,,,POLO_P.L.T._MSRP,true,instock,true,false,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-cl/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-su/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-pu/,https://www.polo.gr/wp-content/uploads/2024/06/848073-RO.jpg|https://www.polo.gr/wp-content/uploads/2023/04/848073-RO-2.jpg|https://www.polo.gr/wp-content/uploads/2023/04/848073-CL-1.jpg|https://www.polo.gr/wp-content/uploads/2024/06/848073-SU.jpg|https://www.polo.gr/wp-content/uploads/2024/06/848073-PU.jpg|https://www.polo.gr/wp-content/uploads/2023/04/848073-SET.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927005-2000-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927002-2000.jpg|https://www.polo.gr/wp-content/uploads/2025/04/949024-2000-1.jpg,9,missing_after_external_enrichment,,,,normalized_detailed,gtin_pending_external,2026-08-23,2026-08-23T16:52:01.136Z,8ceeaf62014f535ae6d53d12bd52e5806b74c924d365db8d0a44d61466690fb3
848073-SU,,POLO,848073-SU,ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN,"ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN της POLO, χωρητικότητας 0.45 L, και βάρος 115 g. Κωδικός POLO: 848073-SU.",https://www.polo.gr/wp-content/uploads/2024/06/848073-SU.jpg,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-su/,Σχολικό > Παγούρια / Θερμός > el back2school bottles thermos > back2school,15.00,EUR,instock,"{""family_key"":""848073"",""variant_code"":""SU"",""label"":""ΜΠΡΕΛΟΚ ORIGINAL BAG"",""sibling_urls"":[""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-cl/"",""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-pu/"",""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-ro/""]}","{""capacity_l"":0.45,""weight_g"":115,""attributes"":{}}",,polo-gr,96418,el-bottle-hit-cap-g45-0-45l-su,848073,ΠΑΓΟΥΡΙ ΑΛΟΥΜΙΝΙΟΥ HIT CAP 0.45L (G45) LAKEN,SU,ΜΠΡΕΛΟΚ ORIGINAL BAG,,,0.45,,,,,115,,,,false,false,false,false,false,false,false,false,false,false,false,false,,{},el-back2school-bottles-thermos|back2school,polo-2024|polo-2026-b2b,15.00,1500,,,15.00,1500,,,POLO_P.L.T._MSRP,true,instock,true,false,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-cl/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-pu/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-hit-cap-g45-0-45l-ro/,https://www.polo.gr/wp-content/uploads/2024/06/848073-SU.jpg|https://www.polo.gr/wp-content/uploads/2023/04/848073-SU-2-2.jpg|https://www.polo.gr/wp-content/uploads/2023/04/848073-CL-1.jpg|https://www.polo.gr/wp-content/uploads/2024/06/848073-PU.jpg|https://www.polo.gr/wp-content/uploads/2024/06/848073-RO.jpg|https://www.polo.gr/wp-content/uploads/2024/06/848073-SET-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927005-2000-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927002-2000.jpg|https://www.polo.gr/wp-content/uploads/2025/04/949024-2000-1.jpg,9,missing_after_external_enrichment,,,,normalized_detailed,gtin_pending_external,2026-08-23,2026-08-23T16:52:01.136Z,f3702b567ec502d5e749dc3326baf004a61269dbc03d87ef87f4e5c2cce69f89
848116-02,,POLO,848116-02,ΠΑΓΟΥΡΙ BASIC STEEL PLAIN LAKEN 1lt (BS100) LAKEN,"ΠΑΓΟΥΡΙ BASIC STEEL PLAIN LAKEN 1lt (BS100) LAKEN της POLO, χωρητικότητας 1 L, και βάρος 235 g. Κωδικός POLO: 848116-02.",https://www.polo.gr/wp-content/uploads/2022/06/848116-02.jpg,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-02/,Σχολικό > Παγούρια / Θερμός > Ταξίδι > el travel bottles thermos > el back2school bottles thermos > back2school,18.00,EUR,instock,"{""family_key"":""848116"",""variant_code"":""02"",""label"":""ΚΟΡΔΟΝΙ ΜΠΡΕΛΟΚ ΓΙΑ ΚΙΝΗΤΟ"",""sibling_urls"":[""https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-17/"",""https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-12/"",""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-03/""]}","{""capacity_l"":1,""weight_g"":235,""attributes"":{}}",,polo-gr,88988,el-bottle-basic-steel-plain-laken-1lt-bs100-laken-02,848116,ΠΑΓΟΥΡΙ BASIC STEEL PLAIN LAKEN 1lt (BS100) LAKEN,02,ΚΟΡΔΟΝΙ ΜΠΡΕΛΟΚ ΓΙΑ ΚΙΝΗΤΟ,,,1,,,,,235,,,,false,false,false,false,false,false,false,false,false,false,false,false,,{},el-travel-bottles-thermos|el-back2school-bottles-thermos|back2school,polo-2026-b2b|school-24,18.00,1800,,,18.00,1800,,,POLO_P.L.T._MSRP,true,instock,true,false,https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-17/|https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-12/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-03/,https://www.polo.gr/wp-content/uploads/2022/06/848116-02.jpg|https://www.polo.gr/wp-content/uploads/2022/06/848116-17.jpg|https://www.polo.gr/wp-content/uploads/2022/06/848116-12.jpg|https://www.polo.gr/wp-content/uploads/2022/06/848116-03.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927003-2025-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927005-2033-1.jpg|https://www.polo.gr/wp-content/uploads/2025/04/949020-2100.jpg|https://www.polo.gr/wp-content/uploads/2024/06/938004-2002-1.jpg,8,missing_after_external_enrichment,,,,normalized_detailed,gtin_pending_external,2026-08-23,2026-08-23T16:52:01.136Z,d6362d725c3973a5aaea2c25fae9ab9da4f8efeae77e8947ea574fdde9b963b1
848116-03,,POLO,848116-03,ΠΑΓΟΥΡΙ BASIC STEEL PLAIN LAKEN 1lt (BS100) LAKEN,"ΠΑΓΟΥΡΙ BASIC STEEL PLAIN LAKEN 1lt (BS100) LAKEN της POLO, χωρητικότητας 1 L, και βάρος 235 g. Κωδικός POLO: 848116-03.",https://www.polo.gr/wp-content/uploads/2022/06/848116-03.jpg,https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-03/,Ταξίδι > Παγούρια / Θερμός > Σχολικό > el travel bottles thermos > el back2school bottles thermos > back2school,18.00,EUR,instock,"{""family_key"":""848116"",""variant_code"":""03"",""label"":""ΚΟΡΔΟΝΙ ΜΠΡΕΛΟΚ ΓΙΑ ΚΙΝΗΤΟ"",""sibling_urls"":[""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-17/"",""https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-02/"",""https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-12/""]}","{""capacity_l"":1,""weight_g"":235,""attributes"":{}}",,polo-gr,88991,el-bottle-basic-steel-plain-laken-1lt-bs100-laken-03,848116,ΠΑΓΟΥΡΙ BASIC STEEL PLAIN LAKEN 1lt (BS100) LAKEN,03,ΚΟΡΔΟΝΙ ΜΠΡΕΛΟΚ ΓΙΑ ΚΙΝΗΤΟ,,,1,,,,,235,,,,false,false,false,false,false,false,false,false,false,false,false,false,,{},el-travel-bottles-thermos|el-back2school-bottles-thermos|back2school,polo-2026-b2b|school-24,18.00,1800,,,18.00,1800,,,POLO_P.L.T._MSRP,true,instock,true,false,https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-17/|https://www.polo.gr/bags/travel/el-travel-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-02/|https://www.polo.gr/bags/back2school/el-back2school-bottles-thermos/el-bottle-basic-steel-plain-laken-1lt-bs100-laken-12/,https://www.polo.gr/wp-content/uploads/2022/06/848116-03.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927003-2025-1.jpg|https://www.polo.gr/wp-content/uploads/2025/06/927005-2033-1.jpg|https://www.polo.gr/wp-content/uploads/2022/06/848116-17.jpg|https://www.polo.gr/wp-content/uploads/2022/06/848116-02.jpg|https://www.polo.gr/wp-content/uploads/2022/06/848116-12.jpg|https://www.polo.gr/wp-content/uploads/2025/04/949020-2100.jpg|https://www.polo.gr/wp-content/uploads/2024/06/938004-2002-1.jpg,8,missing_after_external_enrichment,,,,normalized_detailed,gtin_pending_external,2026-08-23,2026-08-23T16:52:01.136Z,24df5210c0698a20eae7a93b944bf06a1accf46916701eacf4677acf00357b33
